task_id	name	status	exit	realtime	peak_vmem	peak_rss
865	perform_pairwise_association_test (711)	COMPLETED	0	10m 23s	3 GB	2.5 GB
593	perform_pairwise_association_test (439)	COMPLETED	0	9m 31s	3 GB	2.5 GB
592	perform_pairwise_association_test (438)	COMPLETED	0	9m 38s	3 GB	2.5 GB
880	perform_pairwise_association_test (726)	COMPLETED	0	10m 21s	3 GB	2.5 GB
884	perform_pairwise_association_test (730)	COMPLETED	0	9m 49s	3 GB	2.5 GB
885	perform_pairwise_association_test (731)	COMPLETED	0	9m 31s	3 GB	2.5 GB
886	perform_pairwise_association_test (732)	COMPLETED	0	9m 50s	3 GB	2.5 GB
1033	perform_pairwise_association_test (879)	COMPLETED	0	9m 22s	3 GB	2.5 GB
1032	perform_pairwise_association_test (878)	COMPLETED	0	9m 25s	3 GB	2.5 GB
1034	perform_pairwise_association_test (880)	COMPLETED	0	9m 26s	3 GB	2.5 GB
1036	perform_pairwise_association_test (882)	COMPLETED	0	8m 58s	3 GB	2.6 GB
394	perform_pairwise_association_test (240)	COMPLETED	0	8m 43s	3 GB	2.5 GB
395	perform_pairwise_association_test (241)	COMPLETED	0	8m 28s	3 GB	2.5 GB
396	perform_pairwise_association_test (242)	COMPLETED	0	8m 55s	3 GB	2.5 GB
452	perform_pairwise_association_test (298)	COMPLETED	0	9m 27s	3 GB	2.5 GB
526	perform_pairwise_association_test (372)	COMPLETED	0	8m 35s	3 GB	2.5 GB
524	perform_pairwise_association_test (370)	COMPLETED	0	9m 4s	3 GB	2.5 GB
397	perform_pairwise_association_test (243)	COMPLETED	0	9m 24s	3 GB	2.5 GB
400	perform_pairwise_association_test (246)	COMPLETED	0	9m 30s	3 GB	2.5 GB
459	perform_pairwise_association_test (305)	COMPLETED	0	9m 20s	3 GB	2.5 GB
879	perform_pairwise_association_test (725)	COMPLETED	0	12m 2s	3 GB	2.5 GB
399	perform_pairwise_association_test (245)	COMPLETED	0	9m 48s	3 GB	2.5 GB
688	perform_pairwise_association_test (534)	COMPLETED	0	8m 45s	3 GB	2.5 GB
1150	perform_pairwise_association_test (996)	COMPLETED	0	11m 7s	3 GB	2.5 GB
656	perform_pairwise_association_test (502)	COMPLETED	0	9m 31s	3 GB	2.5 GB
658	perform_pairwise_association_test (504)	COMPLETED	0	9m 7s	3 GB	2.6 GB
660	perform_pairwise_association_test (506)	COMPLETED	0	9m 7s	3 GB	2.5 GB
384	perform_pairwise_association_test (230)	COMPLETED	0	7m 21s	3 GB	2.5 GB
398	perform_pairwise_association_test (244)	COMPLETED	0	10m 59s	3 GB	2.5 GB
867	perform_pairwise_association_test (713)	COMPLETED	0	14m 24s	3 GB	2.5 GB
689	perform_pairwise_association_test (535)	COMPLETED	0	9m 14s	3 GB	2.5 GB
690	perform_pairwise_association_test (536)	COMPLETED	0	9m 32s	3 GB	2.6 GB
