"","replicate_id","undershoot_ratio","subsample","replicate_id.1","undershoot_ratio.1","subsample.1","replicate_id.2","undershoot_ratio.2","subsample.2","replicate_id.3","undershoot_ratio.3","subsample.3","replicate_id.4","undershoot_ratio.4","subsample.4","replicate_id.5","undershoot_ratio.5","subsample.5","replicate_id.6","undershoot_ratio.6","subsample.6","replicate_id.7","undershoot_ratio.7","subsample.7","replicate_id.8","undershoot_ratio.8","subsample.8","replicate_id.9","undershoot_ratio.9","subsample.9"
"56",56,1.17557385769558,1000,56,2.93943709090743,1000,56,2.09102815085573,1000,56,2.48883660661946,1000,56,2.84988707428394,1000,56,0.921454253404726,1000,56,1.28976237336539,1000,56,0.895615803780829,1000,56,1.55124050231744,1000,56,3.57204955972928,1000
"57",57,0.93793058383839,1000,57,1.20423212681625,1000,57,1.60838589250413,1000,57,0.905622968929299,1000,57,1.40037312000765,1000,57,1.97573822485072,1000,57,1.99004517159601,1000,57,1.28973319526928,1000,57,1.10609588737746,1000,57,9.42630244957896,1000
"58",58,1.0611301256887,1000,58,1.74529769094853,1000,58,0.874459607224655,1000,58,2.39656548722159,1000,58,1.09260096653866,1000,58,0.995370582228896,1000,58,0.95904148259792,1000,58,2.18672291390636,1000,58,2.43110766990051,1000,58,4.51312334036691,1000
"59",59,2.97741702118267,1000,59,1.64799718235437,1000,59,1.04234377694804,1000,59,0.95073204494375,1000,59,2.08997088696928,1000,59,1.72962266788322,1000,59,0.736562030639885,1000,59,4.99523769483885,1000,59,0.856654532391749,1000,59,2.4143408039418,1000
"60",60,0.966852984240894,1000,60,0.837974226346779,1000,60,0.772100649743232,1000,60,1.85786444841037,1000,60,2.4606955969889,1000,60,1.02867469284295,1000,60,0.911825127438563,1000,60,3.32178986518654,1000,60,1.00018243292564,1000,60,8.30820060858356,1000
"61",61,1.40529755077917,1000,61,1.19469571029759,1000,61,0.990714820942677,1000,61,2.19714728461087,1000,61,0.840552004801139,1000,61,0.92071079274039,1000,61,2.68878509255323,1000,61,2.60029935356577,1000,61,1.13560632820888,1000,61,1.62240040039107,1000
"62",62,1.94509142364968,1000,62,1.98098818234017,1000,62,1.43235325210494,1000,62,0.828693090309527,1000,62,0.948626046303053,1000,62,0.87803587254102,1000,62,1.13095567627432,1000,62,0.884450604039243,1000,62,1.04730084076583,1000,62,1.72723800610961,1000
"63",63,0.964674287032111,1000,63,0.860415090894147,1000,63,1.82354760542321,1000,63,2.11237322766452,1000,63,2.20257749410443,1000,63,4.43740853025473,1000,63,1.16803212287419,1000,63,17.1320386310483,1000,63,0.933726635975319,1000,63,4.44030706864946,1000
"64",64,0.816048762204979,1000,64,0.97334751826421,1000,64,0.943943326446687,1000,64,1.13993553751217,1000,64,0.922068709619618,1000,64,0.997396338844992,1000,64,1.16891087183373,1000,64,1.28698540856371,1000,64,2.50507210317603,1000,64,2.96831298985067,1000
"65",65,0.796337174170211,1000,65,0.950269311857941,1000,65,1.02426891064248,1000,65,1.89681749345899,1000,65,2.96315887307295,1000,65,1.0932073807527,1000,65,0.962597367544312,1000,65,1.24330195812653,1000,65,0.972437069164649,1000,65,3.5451597088086,1000
"66",66,1.15037990038805,1000,66,1.02038580096106,1000,66,0.980905176553275,1000,66,1.13146221863633,1000,66,0.82845710058148,1000,66,0.825164227900965,1000,66,1.00926214655527,1000,66,5.06790246901785,1000,66,0.885008298781517,1000,66,3.68430712686847,1000
"67",67,1.2461718728587,1000,67,0.961891072722718,1000,67,1.92967583205362,1000,67,0.85166884739218,1000,67,1.20133507402574,1000,67,0.816937701586694,1000,67,1.20586223015383,1000,67,1.85017049078899,1000,67,1.97312814344126,1000,67,5.92605947495462,1000
"68",68,1.53345089862677,1000,68,21.1927738830368,1000,68,0.871351541267674,1000,68,1.126722035546,1000,68,1.96445015979942,1000,68,0.876945347101835,1000,68,1.40910537974067,1000,68,2.94861049620114,1000,68,1.7557205024974,1000,68,3.044986430338,1000
