"","replicate_id","overshoot_ratio","subsample","replicate_id.1","overshoot_ratio.1","subsample.1","replicate_id.2","overshoot_ratio.2","subsample.2","replicate_id.3","overshoot_ratio.3","subsample.3","replicate_id.4","overshoot_ratio.4","subsample.4","replicate_id.5","overshoot_ratio.5","subsample.5","replicate_id.6","overshoot_ratio.6","subsample.6","replicate_id.7","overshoot_ratio.7","subsample.7","replicate_id.8","overshoot_ratio.8","subsample.8","replicate_id.9","overshoot_ratio.9","subsample.9"
"30",30,0.954775656221924,1000,30,1.10066459325117,1000,30,1.56753555071165,1000,30,0.930823392001111,1000,30,1.35013314957756,1000,30,10.1148838211884,1000,30,1.47783263172441,1000,30,0.94519342451026,1000,30,1.14938142984531,1000,30,1.83659580663541,1000
"31",31,0.916144272180878,1000,31,1.72918893744244,1000,31,1.56706212890989,1000,31,0.933131285199073,1000,31,1.07697087777932,1000,31,2.64969751405109,1000,31,0.910637526544453,1000,31,2.51676943470169,1000,31,0.888570497048596,1000,31,0.840254766707904,1000
"32",32,0.93803819448396,1000,32,0.808992346322148,1000,32,5.87101524079925,1000,32,0.878541499362347,1000,32,0.963571184843437,1000,32,2.79182865046135,1000,32,1.22257223941583,1000,32,1.2534788455943,1000,32,2.8464275151352,1000,32,0.836464103965207,1000
"33",33,1.09481515631191,1000,33,0.871069590401322,1000,33,3.17246523330317,1000,33,2.54451280643699,1000,33,0.813756087577425,1000,33,4.18637370867558,1000,33,0.977679939603071,1000,33,0.915439848040129,1000,33,5.65691294388918,1000,33,1.08279886720834,1000
"34",34,0.936553016982536,1000,34,0.978957142974008,1000,34,1.09204263307183,1000,34,1.09685071531605,1000,34,0.880671626798536,1000,34,3.01419349511556,1000,34,0.931592393023835,1000,34,1.16133216129294,1000,34,1.00713580769503,1000,34,1.14898441451868,1000
"35",35,1.16770831901564,1000,35,1.34007322525638,1000,35,1.10364051992828,1000,35,1.84485872826989,1000,35,0.810728281336619,1000,35,2.40284352571729,1000,35,3.33414851314921,1000,35,0.83690492807755,1000,35,1.01533915552002,1000,35,1.01923537673424,1000
"36",36,1.06029495155719,1000,36,1.42366427196733,1000,36,5.41139890025133,1000,36,3.27652319276592,1000,36,1.0457037636141,1000,36,3.13546318326252,1000,36,2.6316376960415,1000,36,0.974518114726909,1000,36,0.937686645768554,1000,36,1.35562895567513,1000
"37",37,1.35613700137115,1000,37,2.20451574231657,1000,37,0.819221780181766,1000,37,1.21669585463234,1000,37,2.17936482836412,1000,37,3.20089383318844,1000,37,1.02680890905035,1000,37,1.23210018823598,1000,37,1.73232148423241,1000,37,3.97095774744349,1000
"38",38,1.04696142962534,1000,38,2.55141312125566,1000,38,2.83513110386213,1000,38,2.05968288132721,1000,38,2.05032991070775,1000,38,1.32266308326967,1000,38,0.979273223821114,1000,38,0.870832077471748,1000,38,0.895033411721569,1000,38,1.11571017878238,1000
"39",39,0.918482064339262,1000,39,1.22486275640545,1000,39,3.59610551241563,1000,39,1.64952317647692,1000,39,1.29038916471859,1000,39,5.47724309307718,1000,39,0.659255586628343,1000,39,2.4914091483863,1000,39,1.53806749336738,1000,39,0.991746783206984,1000
"40",40,0.952791125049193,1000,40,1.86841536793802,1000,40,4.09431122661563,1000,40,0.824927611082417,1000,40,1.64430259484612,1000,40,2.53361745053415,1000,40,0.877477708194352,1000,40,2.48098172797584,1000,40,1.69790769824948,1000,40,0.985896740489972,1000
"41",41,1.12810453454165,1000,41,0.926905112718429,1000,41,1.64468694612285,1000,41,1.5423424773554,1000,41,0.981995411534617,1000,41,1.60265908291102,1000,41,1.1626116529162,1000,41,1.01268776517033,1000,41,0.852579942084296,1000,41,1.77516382672708,1000
"42",42,1.1938000046324,1000,42,0.947290195908485,1000,42,1.75238891009233,1000,42,3.48348284293718,1000,42,1.54974892133306,1000,42,6.12271847251211,1000,42,1.37014837216324,1000,42,0.954845235234235,1000,42,1.30794829338544,1000,42,1.69334602764212,1000
"43",43,1.21458568695451,1000,43,3.96532562789709,1000,43,2.54131786274203,1000,43,1.91604119940706,1000,43,1.05677765877093,1000,43,5.60356407384721,1000,43,0.945123530379987,1000,43,1.00065540483257,1000,43,0.955891888494412,1000,43,0.8459273466534,1000
"44",44,1.24315581650405,1000,44,3.13413852853217,1000,44,2.42001347607324,1000,44,1.89460105162868,1000,44,1.25280465273307,1000,44,2.46703881615629,1000,44,1.1869308502499,1000,44,0.80837020615562,1000,44,0.740747912641627,1000,44,1.05724994645009,1000
"45",45,0.922507893544651,1000,45,1.88885136593722,1000,45,1.2828050933833,1000,45,0.827534563825568,1000,45,1.31895422571711,1000,45,2.2517604356953,1000,45,0.934082721378178,1000,45,1.21763525636824,1000,45,1.17219097431206,1000,45,0.893289145982931,1000
"46",46,1.10076193113888,1000,46,2.80763777150139,1000,46,0.928720213557587,1000,46,1.54084361271693,1000,46,3.72689755683881,1000,46,2.03834548304083,1000,46,0.882090466189175,1000,46,1.03657566768146,1000,46,0.907038015573272,1000,46,1.2429612575246,1000
"47",47,1.03105436491296,1000,47,1.3314133824729,1000,47,2.5745419710177,1000,47,1.05264623426067,1000,47,1.17818956783033,1000,47,15.0033418197526,1000,47,2.55263750232881,1000,47,1.8137645480254,1000,47,0.969580224011671,1000,47,1.86465386716975,1000
"48",48,0.938920791302676,1000,48,2.08716265348191,1000,48,1.60053464520193,1000,48,0.887638908804932,1000,48,0.93780657716886,1000,48,5.75413472123087,1000,48,1.0079672588826,1000,48,1.41082672490689,1000,48,0.942724040602436,1000,48,1.02236781764185,1000
